COD_AP,COD_MICRO,NOME_MICRO,Soma_V002.x,Soma_V023.x,Soma_V037,Soma_V038,Soma_V039,Soma_V040,Soma_V041.x,Soma_V046,Soma_V101,Soma_V102,Soma_V103,Soma_V233,Soma_V007.x,Soma_V008.x,Soma_V009.x,Soma_V011.x,Soma_V023.y,Soma_V041.y,Soma_V001.x,Soma_V109,Soma_V001.y,Soma_V002.y,Soma_V003.x,Soma_V004.x,Soma_V005.x,Soma_V006.x,Soma_V002.x.x,Soma_V003.y,Soma_V004.y,Soma_V005.y,Soma_V006.y,Soma_V007.y,Soma_V008.y,Soma_V009.y,Soma_V010,Soma_V011.y,Soma_V012,Soma_V013,Soma_V014.x,Soma_V015,Soma_V016,Soma_V017.x,Soma_V001,Soma_V002.y.y,Soma_V004,Soma_V014.y,Soma_V011,Soma_V017.y,Soma_V050,Soma_V052,Soma_V113,Soma_V119,Soma_V125,Soma_V131,Soma_V137,Soma_V143,Soma_V149,Soma_V154,Soma_V160,Soma_V202,Soma_V203,Soma_V204,Soma_V205,Soma_V206,Soma_V207,Soma_soma_V202eV203,Soma_soma_V204eV205,Soma_soma_V206eV207,DOMICILIOS_PRECARIOS,COABITACAO,ONUS_EXCESSIVO,ADENSAMENTO,DEFICIT_TOTAL
3100104001001,31019,Patrocínio,1473,0,4,20,0,8,0,0,32,344,10,0,105,968,32,14,0,0,482,999,4189,2745,251,15,1177,1,4154,1481,863,918,440,84,19,48,18,159,3,71,1,62,1,7,8,1982541,9220,49,3,3,0,1,0,0,0,0,0,0,0,0,0,456,896,25,96,0,0,1352,121,0,6,54,71,0,131
3100203001001,31024,Três Marias,6659,21,9,73,2,16,0,10,307,1578,66,18,1045,4942,175,26,44,16,2666,4009,19704,10862,1391,179,7243,29,19526,6667,4051,4467,2290,272,84,188,26,853,18,335,4,212,24,41,8,11007989,7655,148,18,138,118,29,2,5,8,5,12,12,5,0,2,1919,4045,46,281,1,22,5964,327,23,23,269,472,42,807
3100302001001,31061,Manhuaçu,2198,3,34,66,1,6,7,8,28,472,13,3,96,1690,52,9,6,13,667,1536,7281,3131,502,66,3582,0,7101,2202,1453,1888,778,80,56,60,38,291,1,95,0,101,7,49,4,3592388,6380,47,13,74,90,18,1,1,1,1,1,3,1,0,0,507,1253,100,273,0,7,1760,373,7,6,136,102,20,264
3100401001001,31060,Ponte Nova,832,2,817,8,1,1,1,4,24,154,2,0,71,486,6,1,5,7,328,506,2553,494,508,83,1462,6,2550,834,485,587,379,29,13,15,2,120,2,35,0,35,7,9,2,814247,3697,36,1,5,3,0,0,0,0,0,0,2,1,0,0,475,260,61,36,0,0,735,97,0,0,41,29,0,70
3100500001001,31039,Ipatinga,1472,4,113,670,10,38,8,3,11,205,3,21,35,612,10,41,7,6,593,886,4805,1108,438,66,3192,1,4790,1479,919,1246,495,40,33,62,10,279,4,84,1,117,3,19,7,1668662,4940,132,4,103,21,0,0,1,3,1,2,4,1,0,0,130,384,158,773,6,21,514,931,27,14,44,34,0,92
3100609001001,31036,Peçanha,2006,17,443,236,4,64,3,19,21,384,11,10,90,1216,67,9,50,50,898,1118,7035,1629,418,55,4932,1,6987,2015,1173,1631,1138,125,36,98,23,365,10,150,4,121,5,84,9,2324907,6040,56,48,184,36,5,10,13,17,12,14,17,17,1,6,210,1043,98,632,0,23,1253,730,23,16,139,46,0,202
3100708001001,31022,Uberaba,536,0,17,1,0,1,0,1,3,104,5,0,10,288,28,0,0,4,148,382,1520,932,111,19,436,0,1489,529,321,306,147,41,4,17,9,62,1,23,1,28,1,5,3,908213,2682,10,1,29,0,0,0,0,0,0,0,0,0,0,0,65,437,17,7,0,0,502,24,0,3,24,18,5,49
3100807001001,31045,Campo Belo,791,0,0,4,0,0,0,0,42,123,2,0,145,370,8,0,0,0,226,564,2345,1501,142,9,684,3,2324,789,524,577,215,31,14,24,9,94,2,20,1,13,5,5,0,1175664,0,40,7,4,2,1,0,0,0,0,0,0,0,0,0,477,216,12,48,0,2,693,60,2,1,37,11,4,54
3100906001001,31016,Nanuque,4133,32,15,94,1,25,2,76,147,706,13,6,539,2357,42,85,96,241,1508,2643,14318,4281,743,78,9199,17,14230,4149,2665,3483,1726,318,139,138,40,928,27,212,7,302,46,63,16,5447106,9760,117,15,200,196,47,2,11,23,9,25,30,6,3,2,1062,2487,128,441,1,5,3549,569,6,79,282,154,19,534
3101003001001,31005,Salinas,2452,28,6,61,0,10,1,29,116,159,14,11,372,526,53,16,94,92,1037,1418,8941,2104,506,55,6276,0,8932,2455,1737,2749,925,133,121,38,14,530,15,81,1,83,3,46,3,2533178,2140,77,8,50,84,7,2,15,21,15,22,28,8,1,2,179,1005,72,1185,0,11,1184,1257,11,473,178,15,0,667
3101102001001,31041,Aimorés,6567,12,82,274,5,22,3,26,336,1215,40,4,1088,3897,113,104,22,64,2452,4122,19700,7917,1116,165,10411,91,19566,6571,4090,4300,2092,474,144,218,90,906,23,248,13,286,38,62,4,10049654,4820,160,2,121,50,12,1,3,9,6,8,11,2,0,0,2529,3274,112,484,1,13,5803,596,14,9,302,324,53,689
3101201001001,31055,Andrelândia,1040,1,67,8,0,0,0,0,8,189,1,3,32,542,3,5,1,0,426,621,3123,2296,168,21,635,3,3042,1043,598,672,373,26,17,30,7,110,5,69,1,68,7,17,3,1738564,2810,18,8,20,14,8,1,1,1,1,1,1,1,0,0,437,228,227,145,0,3,665,372,3,8,50,66,5,129
3101300001001,31054,São Lourenço,362,1,1,1,0,3,0,1,3,57,2,0,9,162,7,1,1,1,112,254,1110,908,34,9,159,0,1099,364,234,280,95,14,11,11,5,36,1,28,1,20,5,0,2,541901,1330,2,2,2,0,0,0,0,1,1,1,1,0,0,0,125,191,9,37,0,0,316,46,0,10,8,12,0,30
3101409001001,31051,Poços de Caldas,639,0,1,2,0,0,0,1,4,92,11,0,10,289,37,1,0,1,250,389,2012,1592,93,4,323,0,1998,639,439,491,193,34,10,39,8,67,2,35,4,32,1,4,0,1123744,0,5,4,15,6,1,0,0,0,0,0,0,0,0,0,591,17,13,16,2,0,608,29,2,2,20,3,0,25
3101508003001,31066,Cataguases,3386,15,1927,134,2,14,0,31,139,510,38,14,449,1802,153,28,26,93,1436,1952,10923,3604,3039,107,4153,7,10865,3387,2065,2348,1524,275,138,116,31,593,10,145,3,179,29,31,4,4826133,2270,139,15,100,14,1,0,7,12,9,9,15,8,0,0,720,1641,386,618,4,14,2361,1004,18,11,223,91,19,344
3101508003002,31066,Cataguases,7104,4,2095,30,0,3,0,16,248,1525,35,5,858,5196,105,112,9,30,2990,4123,21144,10662,3287,107,7001,26,21064,7110,4273,4160,2482,364,258,316,83,994,31,418,19,370,44,134,6,15015856,7590,86,37,41,0,0,0,1,1,2,2,3,1,0,0,3213,3179,354,348,0,10,6392,702,10,0,461,327,7,795
3101607003001,31049,Alfenas,4175,1,16,10,0,0,0,0,571,952,11,2,1900,2924,39,15,3,0,1327,2850,13265,9925,774,93,2456,17,13249,4177,2915,3626,1255,219,100,107,42,445,15,135,1,158,10,42,2,8295074,1510,45,5,4,13,3,0,0,0,0,0,1,0,0,0,3449,676,20,22,1,6,4125,42,7,2,212,121,21,357
3101607003002,31049,Alfenas,7917,3,74,27,0,8,0,9,595,1759,65,4,2098,5419,238,30,10,26,3216,4701,25058,16964,1713,175,6139,31,24953,7915,4891,5999,2764,315,186,583,78,1008,24,577,24,414,48,131,10,15906106,5550,122,8,29,64,51,1,0,0,0,3,3,1,0,0,6606,1093,58,110,1,15,7699,168,16,39,565,408,20,1032
3101607003003,31049,Alfenas,9736,7,22,12,0,4,0,17,570,2014,46,0,2033,6581,154,59,20,50,3657,6092,30853,20187,2225,170,8210,60,30748,9748,6072,7455,3660,434,252,422,89,1392,25,539,10,453,50,133,12,22672910,9850,169,23,5,44,13,0,0,0,0,2,7,0,0,0,8232,1385,81,28,1,5,9617,109,6,38,545,280,24,887
3101631001001,31059,Barbacena,1183,1,1,18,0,1,0,6,17,129,2,2,63,385,5,6,4,10,325,858,4031,2192,270,17,1550,2,4031,1183,830,1221,394,68,38,27,11,151,0,64,1,35,1,6,0,1629893,0,7,7,14,6,1,1,1,1,1,1,1,1,0,0,836,197,93,53,0,4,1033,146,4,0,93,16,2,111
3101706003001,31014,Almenara,1937,32,5,78,2,85,9,19,45,317,6,130,144,957,20,35,108,60,723,1217,6628,1688,673,30,4232,5,6576,1940,1250,1605,791,118,67,44,13,463,11,102,6,102,28,39,3,1792662,1520,138,8,180,30,6,4,21,31,24,32,32,22,0,0,161,1295,95,271,59,56,1456,366,115,0,143,57,5,206
3101706003002,31014,Almenara,7450,78,54,136,1,107,3,60,199,1447,27,12,687,4621,77,73,254,158,2952,4487,25122,7547,1783,229,15254,33,24699,7398,4450,5458,3110,504,282,255,74,1774,58,459,19,550,77,196,19,11345806,16486,286,23,472,284,49,12,58,65,59,77,77,36,10,11,1632,5069,65,562,3,7,6701,627,10,90,684,265,79,1116
