COD_MUNICIPIO,NOME_MUNICIPIO,Soma_V002.x,Soma_V023.x,Soma_V037,Soma_V038,Soma_V039,Soma_V040,Soma_V041.x,Soma_V046,Soma_V101,Soma_V102,Soma_V103,Soma_V233,Soma_V007.x,Soma_V008.x,Soma_V009.x,Soma_V011.x,Soma_V023.y,Soma_V041.y,Soma_V001.x,Soma_V109,Soma_V001.y,Soma_V002.y,Soma_V003.x,Soma_V004.x,Soma_V005.x,Soma_V006.x,Soma_V002.x.x,Soma_V003.y,Soma_V004.y,Soma_V005.y,Soma_V006.y,Soma_V007.y,Soma_V008.y,Soma_V009.y,Soma_V010,Soma_V011.y,Soma_V012,Soma_V013,Soma_V014.x,Soma_V015,Soma_V016,Soma_V017.x,Soma_V001,Soma_V002.y.y,Soma_V004,Soma_V014.y,Soma_V011,Soma_V017.y,Soma_V050,Soma_V052,Soma_V113,Soma_V119,Soma_V125,Soma_V131,Soma_V137,Soma_V143,Soma_V149,Soma_V154,Soma_V160,Soma_V202,Soma_V203,Soma_V204,Soma_V205,Soma_V206,Soma_V207,Soma_soma_V202eV203,Soma_soma_V204eV205,Soma_soma_V206eV207,DEFICIT_TOTAL
3101607,ALFENAS,21828,11,112,49,0,12,0,26,1736,4725,122,6,6031,14924,431,104,33,76,8200,13643,69176,47076,4712,438,16805,108,68950,21840,13878,17080,7679,968,538,1112,209,2845,64,1251,35,1025,108,306,24,46874090,16910,336,36,38,121,67,1,0,0,0,5,11,1,0,0,18287,3154,159,160,3,26,21441,319,29,2276.0
3103504,ARAGUARI,32984,32,85,227,4,13,0,40,2459,7849,290,17,8284,24995,989,322,71,85,12035,21015,102583,61533,6474,819,33597,83,102084,33029,21012,22761,10996,2040,917,1555,372,5265,196,1633,66,1677,136,420,48,70868943,47839,548,34,488,59,21,0,7,13,11,30,31,2,0,4,23388,6104,1639,1660,7,67,29492,3299,74,3861.0
3104007,ARAXÁ,28807,17,156,109,32,8,0,24,2286,5589,252,34,7721,18776,811,191,33,60,9717,19029,92284,55016,8123,1204,27178,159,91276,28661,18306,21431,10293,1508,959,1017,334,4499,105,1672,47,1717,112,605,39,68097736,48612,628,13,29,85,21,0,1,4,0,11,17,3,1,2,20656,6185,290,247,2,1,26841,537,3,3865.0
3105608,BARBACENA,36493,22,756,395,4,36,6,78,448,5706,160,44,2618,21582,564,314,49,163,15035,21490,115568,71055,9156,722,34505,113,114546,36512,21584,27119,14841,1225,1027,1660,297,4892,107,2487,48,1953,142,516,23,77741224,26827,1039,36,686,320,62,0,10,17,10,12,22,18,2,1,21984,10783,1834,1708,27,84,32767,3542,111,4022.0
3106200,BELO HORIZONTE,762075,490,12886,792,15,2493,214,291,9001,90778,1662,266,145329,438514,7606,11735,1152,786,332184,430042,2375151,1108463,240585,25227,993142,3464,2363472,761624,429259,526656,305819,23650,17554,42423,5935,89513,2183,66492,1610,52945,9474,19938,677,2834302008,711434,19689,807,1582,7963,1525,25,37,99,74,252,384,161,16,35,573734,119803,21221,14813,33,221,693537,36034,254,77056.0
3106705,BETIM,111764,127,1669,758,14,478,14,132,3697,15875,903,134,23722,56485,2819,809,316,408,40511,70794,375331,123440,40279,3041,205083,491,371022,110989,74344,98338,44421,6568,2668,4796,949,12653,238,6383,181,6719,823,1066,100,201206540,105407,3553,193,570,6549,991,11,22,54,24,74,125,40,12,22,57281,36850,6927,8944,79,140,94131,15871,219,10942.0
3122306,DIVINÓPOLIS,64821,28,285,394,13,31,1,50,3235,10219,352,39,12312,46221,1214,370,61,129,24289,40640,207516,127246,16177,2224,61687,182,206606,64923,42041,55445,22534,2017,1163,2470,548,6863,105,3897,82,2841,190,1451,102,154320374,105344,1230,146,1266,747,171,3,10,13,9,18,23,4,1,0,23944,31972,1117,2603,2,58,55916,3720,60,6610.0
3126109,FORMIGA,19325,8,211,80,2,19,0,15,830,3264,22,4,2757,11344,78,87,17,29,6748,12592,59487,38931,3631,331,16536,58,58961,19337,12212,14593,6632,779,355,664,145,2147,32,1063,25,735,59,173,12,38231610,11390,377,42,122,115,17,0,1,1,0,8,7,5,0,1,10530,7741,527,482,1,3,18271,1009,4,1743.0
3127701,GOVERNADOR VALADARES,78782,232,3172,1322,10,209,17,148,1880,16234,382,155,7960,65602,1375,804,654,388,31634,46855,253300,86126,23539,3206,138301,334,250570,78332,47903,56453,31736,4242,2050,3427,792,12649,396,4744,167,5101,401,1733,80,150744710,71548,2944,83,1052,818,249,3,48,102,58,161,210,84,7,9,34087,38336,1178,3022,11,68,72423,4200,79,10424.0
3129806,IBIRITÉ,46130,57,277,446,7,71,206,77,1675,5418,118,41,7438,18761,441,244,160,230,17602,28574,158590,49303,18956,2389,87774,168,158372,46176,31019,43445,18309,2351,1063,2988,397,5306,86,3731,115,2853,419,208,46,67162002,34797,1908,174,285,4492,567,14,15,27,22,43,57,39,15,8,19525,17989,3784,4659,13,49,37514,8443,62,4060.0
3131307,IPATINGA,72190,65,302,93,3,45,13,75,729,13008,260,20,3980,60886,1161,533,186,208,22301,49886,236968,97112,19587,1912,117628,301,235662,72138,49936,62246,23906,3138,1981,2130,790,9026,150,3670,58,4058,465,1686,70,165753401,80849,2008,155,128,437,146,0,1,10,2,6,64,7,7,5,49882,13017,6387,1879,28,9,62899,8266,37,8938.0
3131703,ITABIRA,29467,48,781,338,3,16,0,79,846,3134,81,70,4131,11572,302,472,127,251,10751,18740,102316,29799,13370,1150,57907,90,102150,29488,18862,27342,13560,1070,978,839,225,4944,100,2131,28,1864,215,461,21,64172835,32717,674,37,100,296,26,5,7,31,9,24,48,41,2,1,15425,11871,895,1016,11,31,27296,1911,42,3431.0
3132404,ITAJUBÁ,25593,19,407,54,1,1,0,40,1148,5062,292,8,4371,20304,1238,518,29,111,9320,16304,82764,62963,4032,317,15400,40,82120,25619,16089,20812,8987,1011,777,1023,259,3565,66,1647,28,1362,147,729,30,64280506,40610,565,61,203,117,60,1,1,2,0,5,18,3,0,0,17798,6360,450,365,2,13,24158,815,15,3039.0
3133808,ITAÚNA,25022,5,20,18,0,4,0,15,1896,4395,80,4,6680,16703,283,182,8,34,8871,16191,80451,46871,5767,686,27016,54,79917,25060,16334,21166,8739,939,526,1002,240,2661,54,1630,29,1165,99,322,41,56529249,49152,463,17,15,30,16,0,0,2,1,2,5,2,0,1,21792,2794,296,104,2,3,24586,400,5,2447.0
3134202,ITUIUTABA,30865,60,28,210,5,28,2,57,1446,8236,212,23,4743,25900,669,316,161,108,11329,19607,93125,52794,7243,652,32343,76,92689,30931,19305,19585,9275,1911,790,1565,407,4712,176,1600,82,1775,95,562,71,65030374,77061,723,19,500,40,29,3,13,25,13,41,58,6,1,4,19841,9859,473,454,12,18,29700,927,30,4020.0
3135100,JANAÚBA,16674,166,868,896,4,262,3,79,392,2467,104,33,1454,8520,395,222,556,224,5668,11047,60570,16751,7033,459,36195,131,60294,16711,11052,17406,7287,882,491,526,132,3427,79,960,23,989,117,195,37,25175926,24775,433,64,982,417,75,11,132,153,151,162,166,74,10,7,1013,1900,2379,11314,2,44,2913,13693,46,1962.0
3136207,JOÃO MONLEVADE,22057,18,132,153,3,21,1,24,385,3053,73,24,1950,12253,252,136,48,57,7442,14646,73277,28115,9879,658,34551,74,73080,22076,14521,19271,8811,771,619,668,194,3067,71,1319,20,1155,82,392,19,45060913,15235,450,12,62,31,6,0,2,15,3,6,18,15,1,0,12845,7261,956,884,5,18,20106,1840,23,2492.0
3136702,JUIZ DE FORA,168666,94,5264,311,14,381,5,263,3094,21073,901,257,26009,110913,3263,2493,234,775,73499,95048,510378,290131,74753,3426,139278,623,506153,168296,98452,111194,63461,6459,4282,7728,1700,20033,514,10322,268,8747,825,3233,127,443455378,182827,3307,228,736,1103,271,1,4,26,24,54,90,64,0,13,141098,13449,8445,2256,123,64,154547,10701,187,17118.0
3138203,LAVRAS,27641,21,177,127,4,58,1,21,2145,5147,85,17,7251,19459,283,108,49,55,10307,17370,87856,47374,11510,1014,27803,149,87416,27655,17282,21232,9979,1116,754,1163,262,3824,102,1726,33,1434,140,659,16,68560660,24942,570,40,94,96,29,0,2,5,2,15,21,15,1,1,17502,9095,355,457,3,43,26597,812,46,2816.0
3139409,MANHUAÇU,20007,30,1570,325,8,232,1,43,125,3884,163,45,689,18817,608,41,77,122,6675,13362,64839,31507,5805,592,26850,85,64605,20035,13364,17071,6629,1146,411,758,201,2384,41,988,31,970,111,442,28,36486179,31980,406,252,464,167,79,11,16,22,22,23,28,15,0,0,11450,4858,1958,1174,34,87,16308,3132,121,2252.0
3143302,MONTES CLAROS,98572,338,1050,1242,8,197,3,285,2761,15288,253,861,11976,56808,891,641,874,762,36671,62065,344427,111362,26260,3702,202284,595,343062,98710,61917,92891,41495,4108,3109,3547,716,16243,365,8186,128,7393,755,2411,139,195477346,116461,2396,181,2014,1252,243,29,147,181,157,307,317,179,16,27,40980,48589,2586,4376,16,698,89569,6962,714,11396.0
3143906,MURIAÉ,30413,26,338,141,7,18,1,52,1242,5828,132,16,4774,23398,475,127,54,114,10008,20426,93225,50919,8536,703,32995,72,92629,30433,19846,22452,9437,1533,749,1094,356,3108,68,1331,33,1392,147,544,20,59593963,17324,519,75,200,85,44,3,5,13,5,11,26,8,0,0,22271,5592,1693,724,18,59,27863,2417,77,3146.0
3144805,NOVA LIMA,23685,17,420,50,9,9,0,34,443,3353,392,12,2282,11575,1563,196,36,96,8836,14866,79232,29639,7896,698,40878,99,78940,23692,15088,19881,9896,765,714,1062,177,3261,75,1749,41,1570,167,414,13,105906484,11997,681,41,260,380,110,2,3,6,4,12,17,4,0,0,15023,4875,1558,689,3,5,19898,2247,8,2787.0
