"Área de Ponderação","Cód. UF","UF","Cod_meso","Mesorregião","Cód. Microrregião","Microrregião","Cód_RM","Região Metropolitana","Cód. Município","Município","Domicílios particulares permanentes-DPP","DPP SEM banheiro de uso exclusivo dos moradores e NEM sanitário","DPP com lixo coletado em caçamba de serviço de limpeza","DPP com lixo queimado na propriedade","DPP com lixo enterrado na propriedade","DPP com lixo jogado em terreno baldio ou logradouro","DPP com lixo jogado em rio, lago ou mar","DPP SEM energia elétrica","DPP do tipo casa próprios e em aquisição","DPP do tipo casa alugados","DPP do tipo casa cedidos por empregador","DPP com outra forma de destino do lixo e outra forma de abastecimento de água","Moradores em DPP próprios e em aquisição","Moradores em DPP alugados","Moradores em DPP cedidos por empregador","Moradores em DPP com outra condição de ocupação (não são próprios, alugados, nem cedidos)","Moradores em DPP SEM banheiro de uso exclusivo dos moradores e NEM sanitário","Moradores em DPP SEM energia elétrica","Pessoas responsáveis, do sexo feminino","Pessoas responsáveis, do sexo masculino","Pessoas Residentes","Pessoas Residentes e cor ou raça - branca","Pessoas Residentes e cor ou raça - preta","Pessoas Residentes e cor ou raça - amarela","Pessoas Residentes e cor ou raça - parda","Pessoas Residentes e cor ou raça - indígena","Pessoas residentes em  DPP","Responsáveis pelos domicílios particulares","Cônjuges ou companheiros(as) em domi. partic.","Filhos(as) do responsável e do cônjuge em domi. partic.","Filhos(as) somente do responsável em domi. partic.","Enteados(as) em domi. partic.","Genros ou noras em domi. partic.","Pais, mães, padrastos ou madrastas em domi. partic.","Sogros (as) em domi. partic.","Netos(as) em domi. partic.","Bisnetos(as) em domi. partic.","Irmãos ou irmãs em domi. partic.","Avôs ou avós em domi. partic.","Outros parentes em domi. partic.","Agregados(as) em  domi. partic.","Conviventes em domi. partic.","Total de domicílios particulares improvisados","Total do rendimento nominal mensal dos domi. partic.","Total do rendimento nominal mensal dos domi. partic. improvisados","Domicílios particulares sem rendimento nominal mensal domiciliar per capita","DPP alugados – Não existe iluminação pública","DPP alugados – Não existe pavimentação","DPP próprios – Existe esgoto a céu aberto","DPP alugados – Existe esgoto a céu aberto","DPP que não tinham banheiro ou sanitário – Não existe iluminação pública","DPP que não tinham banheiro ou sanitário – Não existe pavimentação","DPP que não tinham banheiro ou sanitário – Não existe calçada","DPP que não tinham banheiro ou sanitário – Não existe meio-fio/guia","DPP que não tinham banheiro ou sanitário – Não existe bueiro/boca-de-lobo","DPP que não tinham banheiro ou sanitário – Não existe rampa para cadeirante","DPP que não tinham banheiro ou sanitário – Não existe arborização","DPP que não tinham banheiro ou sanitário – Existe esgoto a céu aberto","DPP que não tinham banheiro ou sanitário – Existe lixo acumulado nos logradouros","DPP com moradia adequada – Existe identificação do logradouro","DPP com moradia adequada – Não existe identificação do logradouro","DPP com moradia semi-adequada – Existe identificação do logradouro","DPP com moradia semi-adequada – Não existe identificação do logradouro","DPP com moradia inadequada –  Existe identificação do logradouro","DPP com moradia inadequada – Não existe identificação do logradouro","Moradia Adequada_V202eV203","Moradia Semi-Adequada_V204eV205","Moradia Inadequada_V206eV207","DOMICILIOS PRECARIOS","COABITACAO","ONUS EXCESSIVO","ADENSAMENTO","DEFICIT TOTAL"
"3550308005001","35","São Paulo","3515","Metropolitana de São Paulo","35061","São Paulo","20","RM São Paulo","3550308","SÃO PAULO","9098","2","59","0","0","0","0","0","9","231","8","0","1946","11535","614","641","3","0","3439","5616","23651","12650","1344","1815","7674","26","23453","9036","4455","4387","1989","175","68","369","32","326","8","842","10","919","44","727","0","21442639","0","350","62","2","0","0","0","0","0","0","0","1","2","0","0","8497","175","287","77","0","0","8672","364","0","56","143","705","333","1237"
"3550308005002","35","São Paulo","3515","Metropolitana de São Paulo","35061","São Paulo","20","RM São Paulo","3550308","SÃO PAULO","11036","0","22","0","0","0","0","0","6","145","15","0","1850","10330","451","142","0","0","5267","5783","22388","15606","1399","586","4755","42","22283","11041","3449","2235","1757","120","74","399","40","362","10","754","7","636","211","1111","5","38110880","16160","574","8","0","56","71","0","0","0","0","0","0","0","0","0","10198","481","357","0","0","0","10679","357","0","39","54","1067","109","1269"
"3550308005003","35","São Paulo","3515","Metropolitana de São Paulo","35061","São Paulo","20","RM São Paulo","3550308","SÃO PAULO","15308","2","564","0","0","1","0","0","5","80","17","0","3276","17264","944","575","8","0","6756","8684","34593","21750","2160","1610","8885","188","34175","15427","5568","3796","2866","243","94","624","59","469","8","1190","21","1376","169","2102","119","48386711","140453","765","84","0","211","168","0","0","0","1","0","0","2","0","0","14791","170","265","82","0","0","14961","347","0","134","379","1593","449","2555"
"3550308005004","35","São Paulo","3515","Metropolitana de São Paulo","35061","São Paulo","20","RM São Paulo","3550308","SÃO PAULO","10620","22","577","0","0","1","0","6","39","1302","53","0","2161","15998","762","1473","42","15","5168","5870","33892","17969","1552","5141","9092","138","32366","10816","5752","6413","3192","244","199","1101","116","736","16","1273","58","1542","211","1216","196","31080912","46076","1358","0","0","17","44","0","0","0","0","5","12","0","0","0","9242","75","722","0","0","0","9317","722","0","704","567","637","425","2333"
"3550308005005","35","São Paulo","3515","Metropolitana de São Paulo","35061","São Paulo","20","RM São Paulo","3550308","SÃO PAULO","10110","13","58","0","1","0","0","0","18","849","29","0","4621","15088","389","647","31","0","4398","5754","29265","18515","1716","833","8074","123","28705","10142","4986","5117","2899","250","161","609","75","644","10","1064","20","1460","111","1186","32","28199443","56840","429","30","3","16","240","0","0","0","0","2","11","2","1","0","8783","64","1263","0","0","0","8847","1263","0","70","548","1179","181","1978"
"3550308005006","35","São Paulo","3515","Metropolitana de São Paulo","35061","São Paulo","20","RM São Paulo","3550308","SÃO PAULO","12645","24","345","0","0","5","0","2","165","1699","87","4","3018","11920","844","460","77","4","6258","6825","36948","27259","1394","1838","6373","84","35322","12877","6916","6791","3682","349","247","1075","173","932","23","1050","35","1021","168","515","232","63102097","250859","524","4","1","10","3","0","0","0","0","0","17","1","7","0","11978","19","641","4","3","0","11997","645","3","329","559","813","157","1858"
"3550308005007","35","São Paulo","3515","Metropolitana de São Paulo","35061","São Paulo","20","RM São Paulo","3550308","SÃO PAULO","14988","14","124","0","0","5","0","0","75","1165","46","1","3116","12925","650","146","33","0","7248","7936","40400","28498","1267","4954","5649","32","39550","14996","7641","7242","3314","229","193","1281","183","802","26","1257","66","1033","160","756","8","89453847","22260","602","0","0","77","50","0","0","0","0","0","14","0","0","0","13787","529","606","65","1","0","14316","671","1","63","623","583","251","1520"
"3550308005008","35","São Paulo","3515","Metropolitana de São Paulo","35061","São Paulo","20","RM São Paulo","3550308","SÃO PAULO","12326","9","327","0","0","0","0","2","19","287","28","0","1595","12386","442","200","11","2","6382","6068","28692","16924","994","6307","4428","39","27908","12338","4666","3578","2203","133","102","786","74","398","13","1098","38","792","127","1071","12","54284277","12610","929","26","5","4","15","0","0","0","0","2","9","6","0","1","11748","119","455","4","0","0","11867","459","0","39","228","936","164","1367"
"3550308005009","35","São Paulo","3515","Metropolitana de São Paulo","35061","São Paulo","20","RM São Paulo","3550308","SÃO PAULO","8771","1","555","0","0","0","0","0","9","96","11","0","1930","8653","326","74","2","0","4319","4466","18606","13619","868","498","3595","26","18471","8772","3071","2013","1345","99","45","363","26","234","2","687","15","625","34","1036","1","44232392","1100","323","0","0","74","80","0","0","0","0","0","0","0","0","0","8196","177","398","0","0","0","8373","398","0","22","110","670","159","962"
"3550308005010","35","São Paulo","3515","Metropolitana de São Paulo","35061","São Paulo","20","RM São Paulo","3550308","SÃO PAULO","12531","7","275","0","0","0","0","1","34","363","23","0","2055","10643","599","333","15","1","6573","6293","30780","22654","1490","1836","4767","33","29306","12562","5259","4150","2357","172","124","703","92","514","15","1020","26","777","78","1173","31","77009900","52665","445","36","1","105","35","0","0","0","0","0","7","0","0","6","12001","189","328","13","0","0","12190","341","0","60","280","661","263","1263"
