"Área de Ponderação","Cód. UF","UF","Cod_meso","Mesorregião","Cód. Microrregião","Microrregião","Cód_RM","Região Metropolitana","Cód. Município","Município","Domicílios particulares permanentes-DPP","DPP SEM banheiro de uso exclusivo dos moradores e NEM sanitário","DPP com lixo coletado em caçamba de serviço de limpeza","DPP com lixo queimado na propriedade","DPP com lixo enterrado na propriedade","DPP com lixo jogado em terreno baldio ou logradouro","DPP com lixo jogado em rio, lago ou mar","DPP SEM energia elétrica","DPP do tipo casa próprios e em aquisição","DPP do tipo casa alugados","DPP do tipo casa cedidos por empregador","DPP com outra forma de destino do lixo e outra forma de abastecimento de água","Moradores em DPP próprios e em aquisição","Moradores em DPP alugados","Moradores em DPP cedidos por empregador","Moradores em DPP com outra condição de ocupação (não são próprios, alugados, nem cedidos)","Moradores em DPP SEM banheiro de uso exclusivo dos moradores e NEM sanitário","Moradores em DPP SEM energia elétrica","Pessoas responsáveis, do sexo feminino","Pessoas responsáveis, do sexo masculino","Pessoas Residentes","Pessoas Residentes e cor ou raça - branca","Pessoas Residentes e cor ou raça - preta","Pessoas Residentes e cor ou raça - amarela","Pessoas Residentes e cor ou raça - parda","Pessoas Residentes e cor ou raça - indígena","Pessoas residentes em  DPP","Responsáveis pelos domicílios particulares","Cônjuges ou companheiros(as) em domi. partic.","Filhos(as) do responsável e do cônjuge em domi. partic.","Filhos(as) somente do responsável em domi. partic.","Enteados(as) em domi. partic.","Genros ou noras em domi. partic.","Pais, mães, padrastos ou madrastas em domi. partic.","Sogros (as) em domi. partic.","Netos(as) em domi. partic.","Bisnetos(as) em domi. partic.","Irmãos ou irmãs em domi. partic.","Avôs ou avós em domi. partic.","Outros parentes em domi. partic.","Agregados(as) em  domi. partic.","Conviventes em domi. partic.","Total de domicílios particulares improvisados","Total do rendimento nominal mensal dos domi. partic.","Total do rendimento nominal mensal dos domi. partic. improvisados","Domicílios particulares sem rendimento nominal mensal domiciliar per capita","DPP alugados – Não existe iluminação pública","DPP alugados – Não existe pavimentação","DPP próprios – Existe esgoto a céu aberto","DPP alugados – Existe esgoto a céu aberto","DPP que não tinham banheiro ou sanitário – Não existe iluminação pública","DPP que não tinham banheiro ou sanitário – Não existe pavimentação","DPP que não tinham banheiro ou sanitário – Não existe calçada","DPP que não tinham banheiro ou sanitário – Não existe meio-fio/guia","DPP que não tinham banheiro ou sanitário – Não existe bueiro/boca-de-lobo","DPP que não tinham banheiro ou sanitário – Não existe rampa para cadeirante","DPP que não tinham banheiro ou sanitário – Não existe arborização","DPP que não tinham banheiro ou sanitário – Existe esgoto a céu aberto","DPP que não tinham banheiro ou sanitário – Existe lixo acumulado nos logradouros","DPP com moradia adequada – Existe identificação do logradouro","DPP com moradia adequada – Não existe identificação do logradouro","DPP com moradia semi-adequada – Existe identificação do logradouro","DPP com moradia semi-adequada – Não existe identificação do logradouro","DPP com moradia inadequada –  Existe identificação do logradouro","DPP com moradia inadequada – Não existe identificação do logradouro","Moradia Adequada_V202eV203","Moradia Semi-Adequada_V204eV205","Moradia Inadequada_V206eV207","DOMICILIOS PRECARIOS","COABITACAO","ONUS EXCESSIVO","ADENSAMENTO","DEFICIT TOTAL"
"3500105003001","35","São Paulo","3508","Presidente Prudente","35035","Adamantina","0","Municípios não pertencentes a estrutura de RM","3500105","ADAMANTINA","4010","1","1","2","0","0","0","1","838","803","24","0","2914","2410","70","34","2","1","1176","2837","11918","8800","233","241","2624","12","11890","4013","2799","2896","1001","148","109","167","69","399","8","122","10","113","4","33","5","9069278","2290","46","0","3","1","0","0","0","0","0","1","1","0","0","0","2152","1839","5","12","0","0","3991","17","0","0","164","210","20","394"
"3500105003002","35","São Paulo","3508","Presidente Prudente","35035","Adamantina","0","Municípios não pertencentes a estrutura de RM","3500105","ADAMANTINA","6608","8","2","2","0","1","0","3","401","1480","14","0","1308","4541","50","16","20","3","2490","4117","19726","14139","574","575","4287","17","19519","6604","4261","4341","1895","285","183","450","98","786","32","289","15","225","10","43","5","15735851","10250","75","1","33","9","0","0","1","4","1","5","8","0","0","3","4061","2426","33","66","0","0","6487","99","0","53","403","226","23","705"
"3500204001001","35","São Paulo","3501","São José do Rio Preto","35004","São José do Rio Preto","0","Municípios não pertencentes a estrutura de RM","3500204","ADOLFO","1081","0","0","3","0","0","0","1","204","238","11","0","657","761","35","11","0","2","389","692","3200","2578","68","5","549","0","3200","1081","759","742","254","63","31","39","17","139","3","38","2","29","0","2","0","1849590","0","28","1","8","0","0","0","0","0","0","0","0","0","0","0","984","60","12","25","0","0","1044","37","0","0","67","40","6","112"
"3500303003001","35","São Paulo","3507","Campinas","35029","Pirassununga","0","Municípios não pertencentes a estrutura de RM","3500303","AGUAÍ","8953","9","80","12","0","12","1","11","947","2374","47","7","3397","7880","138","490","20","25","3004","5966","29001","19884","1590","159","7335","33","28890","8970","5913","6675","3083","677","369","395","152","1375","47","467","19","564","25","197","17","16088028","7316","201","12","20","14","7","0","1","2","0","9","9","1","0","0","7980","664","73","54","2","2","8644","127","4","34","637","524","104","1300"
"3500402001001","35","São Paulo","3507","Campinas","35030","São João da Boa Vista","0","Municípios não pertencentes a estrutura de RM","3500402","ÁGUAS DA PRATA","2257","1","20","4","4","0","0","0","118","544","74","1","533","1741","227","12","1","0","985","1280","6771","5070","282","16","1382","5","6679","2262","1479","1554","542","105","70","152","33","225","4","122","8","115","9","11","8","5114415","9810","37","25","46","0","0","1","1","1","1","1","1","0","0","0","1450","592","106","96","0","10","2042","202","10","8","124","96","17","246"
"3500501001001","35","São Paulo","3507","Campinas","35033","Amparo","0","Municípios não pertencentes a estrutura de RM","3500501","ÁGUAS DE LINDÓIA","5542","5","219","40","8","0","0","0","366","1268","224","11","1356","4515","810","166","14","0","2115","3429","17111","14358","431","80","2226","16","16981","5544","3607","3922","1665","247","163","354","99","617","7","346","13","293","19","73","2","11590086","4545","181","10","8","8","1","0","0","0","0","5","5","0","5","5","2024","313","13","18","1","0","2337","31","1","50","301","239","53","643"
"3500550001001","35","São Paulo","3504","Bauru","35022","Avaré","0","Municípios não pertencentes a estrutura de RM","3500550","ÁGUAS DE SANTA BÁRBARA","1432","0","11","0","0","0","0","1","193","340","24","0","653","1033","71","20","0","1","439","989","4259","3264","97","62","813","0","4222","1427","922","886","423","98","46","64","21","180","1","48","1","68","22","13","1","3308952","0","33","17","34","0","0","0","0","0","0","0","0","0","0","0","1301","10","96","11","0","0","1311","107","0","7","84","41","6","138"
"3500600001001","35","São Paulo","3506","Piracicaba","35028","Piracicaba","0","Municípios não pertencentes a estrutura de RM","3500600","ÁGUAS DE SÃO PEDRO","990","0","0","0","0","0","0","0","42","205","38","0","159","742","112","2","0","0","354","639","2707","2361","41","26","279","0","2687","990","592","538","246","46","25","53","20","75","1","39","3","28","9","15","0","3629634","0","19","15","10","3","0","0","0","0","0","0","0","0","0","0","870","99","13","8","0","0","969","21","0","0","34","62","7","104"
"3500709003001","35","São Paulo","3504","Bauru","35020","Bauru","0","Municípios não pertencentes a estrutura de RM","3500709","AGUDOS","4015","11","5","2","2","1","0","8","759","539","16","1","2685","1761","51","21","33","22","1602","2414","14164","7475","939","44","5693","13","14158","4016","2770","3407","1855","338","172","241","49","669","10","300","9","281","13","30","1","6044939","150","99","1","71","6","2","0","1","3","1","9","11","2","0","0","2655","1192","98","66","0","0","3847","164","0","78","311","80","0","470"
"3500709003002","35","São Paulo","3504","Bauru","35020","Bauru","0","Municípios não pertencentes a estrutura de RM","3500709","AGUDOS","5757","1","0","5","2","2","0","2","233","1031","26","0","752","3399","97","149","5","2","2220","3541","18829","13864","619","120","4225","1","18762","5757","3876","4206","2121","201","253","459","86","846","28","424","22","359","18","89","0","13524545","0","100","5","19","6","1","0","0","0","0","1","1","0","0","0","4460","850","62","25","2","1","5310","87","3","47","476","152","20","695"
